KO	Gene_identification	A	B	C	D
K13211	GCFC; GC-rich sequence DNA-binding factor	NA	NA	NA	NA
K14963	WDR5, SWD3, CPS30; COMPASS component SWD3	NA	NA	NA	NA
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	Pathway module	Nucleotide and amino acid metabolism	Arginine and proline metabolism	Ornithine biosynthesis, glutamate => ornithine
K02930	RP-L4e, RPL4; large subunit ribosomal protein L4e	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K02930	RP-L4e, RPL4; large subunit ribosomal protein L4e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K09553	STIP1; stress-induced-phosphoprotein 1	NA	NA	NA	NA
K03010	RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]	Structural complex	Genetic information processing	RNA polymerase	RNA polymerase II, eukaryotes
K02605	ORC3; origin recognition complex subunit 3	Structural complex	Genetic information processing	Replication system	Origin recognition complex
K00472	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]	NA	NA	NA	NA
K15171	SUPT4H1, SPT4; transcription elongation factor SPT4	NA	NA	NA	NA
K06269	PPP1C; serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16]	NA	NA	NA	NA
K15633	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K15633	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis, core module involving three-carbon compounds
K15633	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Gluconeogenesis, oxaloacetate => fructose-6P
K03430	phnW; 2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]	NA	NA	NA	NA
K01948	CPS1; carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16]	Pathway module	Nucleotide and amino acid metabolism	Arginine and proline metabolism	Urea cycle
K00500	phhA, PAH; phenylalanine-4-hydroxylase [EC:1.14.16.1]	NA	NA	NA	NA
K17361	ACOT9; acyl-coenzyme A thioesterase 9 [EC:3.1.2.-]	NA	NA	NA	NA
K02910	RP-L31e, RPL31; large subunit ribosomal protein L31e	Structural complex	Genetic information processing	Ribosome	Ribosome, archaea
K02910	RP-L31e, RPL31; large subunit ribosomal protein L31e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K14977	ylbA, UGHY; (S)-ureidoglycine aminohydrolase [EC:3.5.3.26]	NA	NA	NA	NA
K14769	UTP11; U3 small nucleolar RNA-associated protein 11	NA	NA	NA	NA
K10409	DNAI1; dynein intermediate chain 1, axonemal	NA	NA	NA	NA
K01755	argH, ASL; argininosuccinate lyase [EC:4.3.2.1]	Pathway module	Nucleotide and amino acid metabolism	Arginine and proline metabolism	Urea cycle
K11848	USP20_33; ubiquitin carboxyl-terminal hydrolase 20/33 [EC:3.4.19.12]	NA	NA	NA	NA
K04885	KCNB1; potassium voltage-gated channel Shab-related subfamily B member 1	NA	NA	NA	NA
K02218	CSNK1, CKI; casein kinase 1 [EC:2.7.11.1]	NA	NA	NA	NA
K01363	CTSB; cathepsin B [EC:3.4.22.1]	NA	NA	NA	NA
K00809	DHPS, dys; deoxyhypusine synthase [EC:2.5.1.46]	NA	NA	NA	NA
K09288	CCDC6, PTC; coiled-coil domain-containing protein 6	NA	NA	NA	NA
K03250	EIF3E, INT6; translation initiation factor 3 subunit E	NA	NA	NA	NA
K11765	ARID2; AT-rich interactive domain-containing protein 2	NA	NA	NA	NA
K00975	glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Trehalose biosynthesis, D-glucose 1P => trehalose
K03754	EIF2B2; translation initiation factor eIF-2B subunit beta	NA	NA	NA	NA
K15216	RRN3, TIFIA; RNA polymerase I-specific transcription initiation factor RRN3	NA	NA	NA	NA
K16749	BBS7; Bardet-Biedl syndrome 7 protein	NA	NA	NA	NA
K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	Pathway module	Energy metabolism	Carbon fixation	Reductive pentose phosphate cycle (Calvin cycle)
K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	Pathway module	Energy metabolism	Carbon fixation	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Pentose phosphate pathway (Pentose phosphate cycle)
K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P
K00760	hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	NA	NA	NA	NA
K08800	NUAK; NUAK family, SNF1-like kinase [EC:2.7.11.1]	NA	NA	NA	NA
K01310	CTRB; chymotrypsin [EC:3.4.21.1]	NA	NA	NA	NA
K02880	RP-L17e, RPL17; large subunit ribosomal protein L17e	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K01196	AGL; glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33]	NA	NA	NA	NA
K09203	EGR1; early growth response protein 1	NA	NA	NA	NA
K18408	TDRD9; ATP-dependent RNA helicase TDRD9 [EC:3.6.4.13]	NA	NA	NA	NA
K05720	FGD1; FYVE, RhoGEF and PH domain containing 1	NA	NA	NA	NA
K14012	SHP1, UBX1, NSFL1C; UBX domain-containing protein 1	NA	NA	NA	NA
K00830	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	Pathway module	Energy metabolism	Methane metabolism	Formaldehyde assimilation, serine pathway
K00830	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Photorespiration
K03939	NDUFS6; NADH dehydrogenase (ubiquinone) Fe-S protein 6	Structural complex	Energy metabolism	ATP synthesis	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria
K01953	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	NA	NA	NA	NA
K17218	sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4]	NA	NA	NA	NA
K06442	tlyA; 23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	NA	NA	NA	NA
K16185	RRAGA_B; Ras-related GTP-binding protein A/B	NA	NA	NA	NA
K15027	EIF2D; translation initiation factor 2D	NA	NA	NA	NA
K00459	ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]	NA	NA	NA	NA
K05761	VIL1; villin 1	NA	NA	NA	NA
K01939	purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]	Pathway module	Nucleotide and amino acid metabolism	Purine metabolism	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
K02872	RP-L13Ae, RPL13A; large subunit ribosomal protein L13Ae	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K08283	COL4A3BP; collagen type IV alpha-3-binding protein	NA	NA	NA	NA
K12581	CNOT7_8, CAF1, POP2; CCR4-NOT transcription complex subunit 7/8	NA	NA	NA	NA
K10840	CETN2; centrin-2	NA	NA	NA	NA
K02320	POLA1; DNA polymerase alpha subunit A [EC:2.7.7.7]	Structural complex	Genetic information processing	DNA polymerase	DNA polymerase alpha / primase complex
K02353	DVL; segment polarity protein dishevelled	Functional set	Environmental information processing	Cell signaling	Wnt signaling
K02729	PSMA5; 20S proteasome subunit alpha 5 [EC:3.4.25.1]	Structural complex	Genetic information processing	Proteasome	Proteasome, 20S core particle
K02729	PSMA5; 20S proteasome subunit alpha 5 [EC:3.4.25.1]	Structural complex	Genetic information processing	Proteasome	Immunoproteasome
K06217	phoH, phoL; phosphate starvation-inducible protein PhoH and related proteins	NA	NA	NA	NA
K18341	TBC1D1; TBC1 domain family member 1	NA	NA	NA	NA
K18156	ATP23, XRCC6BP1; mitochondrial inner membrane protease ATP23 [EC:3.4.24.-]	NA	NA	NA	NA
K13247	CRYL1; L-gulonate 3-dehydrogenase [EC:1.1.1.45]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Glucuronate pathway (uronate pathway)
K11824	AP2A; AP-2 complex subunit alpha	NA	NA	NA	NA
K10746	EXO1; exonuclease 1 [EC:3.1.-.-]	NA	NA	NA	NA
K01626	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	Pathway module	Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
K19682	IFT46; intraflagellar transport protein 46	NA	NA	NA	NA
K08582	CAPN15; calpain-15 [EC:3.4.22.-]	NA	NA	NA	NA
K02295	CRY; cryptochrome	NA	NA	NA	NA
K06066	CIR; CBF1 interacting corepressor	NA	NA	NA	NA
K00343	nuoN; NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]	Structural complex	Energy metabolism	ATP synthesis	NADH:quinone oxidoreductase, prokaryotes
K15128	MED6; mediator of RNA polymerase II transcription subunit 6	NA	NA	NA	NA
K10643	CNOT4, NOT4, MOT2; CCR4-NOT transcription complex subunit 4 [EC:2.3.2.27]	NA	NA	NA	NA
K00856	E2.7.1.20, ADK; adenosine kinase [EC:2.7.1.20]	NA	NA	NA	NA
K12820	DHX15, PRP43; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6.4.13]	NA	NA	NA	NA
K15377	SLC44A2_4_5; solute carrier family 44 (choline transporter-like protein), member 2/4/5	NA	NA	NA	NA
K00077	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
K08874	TRRAP; transformation/transcription domain-associated protein	NA	NA	NA	NA
K03521	fixA, etfB; electron transfer flavoprotein beta subunit	NA	NA	NA	NA
K17849	HECTD4; E3 ubiquitin-protein ligase HECTD4 [EC:2.3.2.26]	NA	NA	NA	NA
K10046	GME; GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
K00284	E1.4.7.1; glutamate synthase (ferredoxin) [EC:1.4.7.1]	NA	NA	NA	NA
K11472	glcE; glycolate oxidase FAD binding subunit	NA	NA	NA	NA
K12846	SNRNP27; U4/U6.U5 tri-snRNP-associated protein 3	Structural complex	Genetic information processing	Spliceosome	Spliceosome, U4/U6.U5 tri-snRNP
K04567	KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, prokaryotes
K04567	KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, eukaryotes
K05754	ARPC5; actin related protein 2/3 complex, subunit 5	NA	NA	NA	NA
K19788	OLA1; obg-like ATPase 1	NA	NA	NA	NA
K01609	trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]	Pathway module	Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	Tryptophan biosynthesis, chorismate => tryptophan
K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Pathway module	Carbohydrate and lipid metabolism	Other carbohydrate metabolism	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P
K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Functional set	Metabolism	Nucleotide sugar	Nucleotide sugar biosynthesis, prokaryotes
K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Functional set	Metabolism	Nucleotide sugar	Nucleotide sugar biosynthesis, eukaryotes
K14863	YTM1, WDR12; ribosome biogenesis protein YTM1	NA	NA	NA	NA
K02412	fliI; flagellum-specific ATP synthase [EC:3.6.3.14]	NA	NA	NA	NA
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	NA	NA	NA	NA
K10847	XPA; DNA-repair protein complementing XP-A cells	NA	NA	NA	NA
K14156	CHK; choline/ethanolamine kinase [EC:2.7.1.32 2.7.1.82]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Phosphatidylcholine (PC) biosynthesis, choline => PC
K14156	CHK; choline/ethanolamine kinase [EC:2.7.1.32 2.7.1.82]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE
K02636	petC; cytochrome b6-f complex iron-sulfur subunit [EC:1.10.9.1]	Structural complex	Energy metabolism	ATP synthesis	Cytochrome b6f complex
K12842	SR140; U2-associated protein SR140	NA	NA	NA	NA
K07820	B3GALT2; beta-1,3-galactosyltransferase 2 [EC:2.4.1.-]	Pathway module	Carbohydrate and lipid metabolism	Glycan metabolism	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer
K13199	SERBP1; plasminogen activator inhibitor 1 RNA-binding protein	NA	NA	NA	NA
K06027	NSF, SEC18; vesicle-fusing ATPase [EC:3.6.4.6]	NA	NA	NA	NA
K17908	WIPI, ATG18; autophagy-related protein 18	NA	NA	NA	NA
K02998	RP-SAe, RPSA; small subunit ribosomal protein SAe	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K01873	VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, prokaryotes
K01873	VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, eukaryotes
K13102	KIN; DNA/RNA-binding protein KIN17	NA	NA	NA	NA
K05750	NCKAP1, NAP125; NCK-associated protein 1	NA	NA	NA	NA
K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	Pathway module	Carbohydrate and lipid metabolism	Fatty acid metabolism	Fatty acid biosynthesis, elongation
K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
K12587	MTR3, EXOSC6; exosome complex component MTR3	Structural complex	Genetic information processing	RNA processing	Exosome, eukaryotes
K12605	CNOT2, NOT2; CCR4-NOT transcription complex subunit 2	NA	NA	NA	NA
K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]	NA	NA	NA	NA
K00933	E2.7.3.2; creatine kinase [EC:2.7.3.2]	Pathway module	Nucleotide and amino acid metabolism	Other amino acid metabolism	Creatine pathway
K10635	RNF111; E3 ubiquitin-protein ligase Arkadia [EC:2.3.2.27]	NA	NA	NA	NA
K01893	NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, prokaryotes
K01893	NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, eukaryotes
K12477	EHD4; EH domain-containing protein 4	NA	NA	NA	NA
K06670	SCC1, MCD1, RAD21; cohesin complex subunit SCC1	NA	NA	NA	NA
K14569	BMS1; ribosome biogenesis protein BMS1	NA	NA	NA	NA
K08054	CANX; calnexin	NA	NA	NA	NA
K14802	DRS2, ATP8A; phospholipid-transporting ATPase [EC:3.6.3.1]	NA	NA	NA	NA
K10393	KIF2_24, MCAK; kinesin family member 2/24	NA	NA	NA	NA
K11518	TOM40; mitochondrial import receptor subunit TOM40	NA	NA	NA	NA
K17275	PLS1; plastin-1	NA	NA	NA	NA
K11540	CAD; carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase [EC:6.3.5.5 2.1.3.2 3.5.2.3]	Pathway module	Nucleotide and amino acid metabolism	Pyrimidine metabolism	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
K15186	EAF; ELL-associated factor	NA	NA	NA	NA
K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	Pathway module	Nucleotide and amino acid metabolism	Pyrimidine metabolism	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
K01581	E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase [EC:4.1.1.17]	Pathway module	Nucleotide and amino acid metabolism	Polyamine biosynthesis	Polyamine biosynthesis, arginine => ornithine => putrescine
K01322	PREP; prolyl oligopeptidase [EC:3.4.21.26]	NA	NA	NA	NA
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Pentose phosphate pathway (Pentose phosphate cycle)
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
K19758	DYX1C1, DNAAF4; dyslexia susceptibility 1 candidate gene 1 protein	NA	NA	NA	NA
K03013	RPB5, POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1	Structural complex	Genetic information processing	RNA polymerase	RNA polymerase II, eukaryotes
K03013	RPB5, POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1	Structural complex	Genetic information processing	RNA polymerase	RNA polymerase III, eukaryotes
K03013	RPB5, POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1	Structural complex	Genetic information processing	RNA polymerase	RNA polymerase I, eukaryotes
K03242	EIF2S3; translation initiation factor 2 subunit 3	NA	NA	NA	NA
K14325	RNPS1; RNA-binding protein with serine-rich domain 1	Structural complex	Genetic information processing	RNA processing	Exon junction complex (EJC)
K05305	FUK; fucokinase [EC:2.7.1.52]	NA	NA	NA	NA
K08832	SRPK3, STK23; serine/threonine-protein kinase SRPK3 [EC:2.7.11.1]	NA	NA	NA	NA
K07759	PARG; poly(ADP-ribose) glycohydrolase [EC:3.2.1.143]	NA	NA	NA	NA
K00428	E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]	NA	NA	NA	NA
K18914	FDXR; adrenodoxin-NADP+ reductase [EC:1.18.1.6]	NA	NA	NA	NA
K17362	ACOT13; acyl-coenzyme A thioesterase 13 [EC:3.1.2.-]	NA	NA	NA	NA
K06883	K06883; uncharacterized protein	NA	NA	NA	NA
K06630	YWHAE; 14-3-3 protein epsilon	NA	NA	NA	NA
K19677	IFT81; intraflagellar transport protein 81	NA	NA	NA	NA
K12739	PPIL6; peptidyl-prolyl cis-trans isomerase-like 6 [EC:5.2.1.8]	NA	NA	NA	NA
K07300	chaA, CAX; Ca2+:H+ antiporter	NA	NA	NA	NA
K10380	ANK; ankyrin	NA	NA	NA	NA
K14950	ATP13A1; cation-transporting ATPase 13A1 [EC:3.6.3.-]	NA	NA	NA	NA
K16487	SAS-6, SASS6; spindle assembly abnormal protein 6	NA	NA	NA	NA
K02575	NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter	Signature module	Gene set	Metabolic capacity	Nitrate assimilation
K13184	DHX9; ATP-dependent RNA helicase A [EC:3.6.4.13]	NA	NA	NA	NA
K15382	SLC50A, SWEET; solute carrier family 50 (sugar transporter)	NA	NA	NA	NA
K12391	AP1G1; AP-1 complex subunit gamma-1	NA	NA	NA	NA
K10414	DYNC2H, DNCH2; dynein heavy chain 2, cytosolic	NA	NA	NA	NA
K01181	E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]	NA	NA	NA	NA
K14763	NAF1; H/ACA ribonucleoprotein complex non-core subunit NAF1	NA	NA	NA	NA
K03675	grxB; glutaredoxin 2	NA	NA	NA	NA
K10585	UBE2Z; ubiquitin-conjugating enzyme E2 Z [EC:2.3.2.23]	NA	NA	NA	NA
K16604	TTLL11; tubulin polyglutamylase TTLL11 [EC:6.-.-.-]	NA	NA	NA	NA
K06487	ITGAV, CD51; integrin alpha V	NA	NA	NA	NA
K03006	RPB1, POLR2A; DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]	Structural complex	Genetic information processing	RNA polymerase	RNA polymerase II, eukaryotes
K05677	ABCD3, PMP70; ATP-binding cassette, subfamily D (ALD), member 3	NA	NA	NA	NA
K14682	argAB; amino-acid N-acetyltransferase [EC:2.3.1.1]	Pathway module	Nucleotide and amino acid metabolism	Arginine and proline metabolism	Ornithine biosynthesis, glutamate => ornithine
K12888	HNRNPU; heterogeneous nuclear ribonucleoprotein U	NA	NA	NA	NA
K14537	NUG2, GNL2; nuclear GTP-binding protein	NA	NA	NA	NA
K02694	psaF; photosystem I subunit III	Structural complex	Energy metabolism	Photosynthesis	Photosystem I
K00698	CHS1; chitin synthase [EC:2.4.1.16]	NA	NA	NA	NA
K10706	SETX, ALS4; senataxin [EC:3.6.4.-]	NA	NA	NA	NA
K15779	PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]	NA	NA	NA	NA
K05389	KCNKF; potassium channel subfamily K, other eukaryote	NA	NA	NA	NA
K00731	C1GALT1; glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122]	Pathway module	Carbohydrate and lipid metabolism	Glycan metabolism	O-glycan biosynthesis, mucin type core
K14607	SULF; extracellular sulfatase Sulf [EC:3.1.6.-]	NA	NA	NA	NA
K14848	RRB1, GRWD1; ribosome assembly protein RRB1	NA	NA	NA	NA
K08729	PTDSS1; phosphatidylserine synthase 1 [EC:2.7.8.-]	NA	NA	NA	NA
K06959	tex; protein Tex	NA	NA	NA	NA
K05019	CLNS1A; chloride channel, nucleotide-sensitive, 1A	NA	NA	NA	NA
K14400	PCF11; pre-mRNA cleavage complex 2 protein Pcf11	NA	NA	NA	NA
K12303	SLC17A9; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 9	NA	NA	NA	NA
K09613	COPS5, CSN5; COP9 signalosome complex subunit 5 [EC:3.4.-.-]	NA	NA	NA	NA
K01885	EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]	Pathway module	Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	Heme biosynthesis, glutamate => protoheme/siroheme
K01885	EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, prokaryotes
K01885	EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]	Functional set	Metabolism	Aminoacyl tRNA	Aminoacyl-tRNA biosynthesis, eukaryotes
K11368	ENY2, DC6, SUS1; enhancer of yellow 2 transcription factor	NA	NA	NA	NA
K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	Pathway module	Energy metabolism	Carbon fixation	Reductive pentose phosphate cycle (Calvin cycle)
K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	Pathway module	Energy metabolism	Carbon fixation	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Gluconeogenesis, oxaloacetate => fructose-6P
K13988	NUDT9; ADP-ribose pyrophosphatase [EC:3.6.1.13]	NA	NA	NA	NA
K01758	CTH; cystathionine gamma-lyase [EC:4.4.1.1]	Pathway module	Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	Cysteine biosynthesis, homocysteine + serine => cysteine
K06624	CDKN1B, P27, KIP1; cyclin-dependent kinase inhibitor 1B	NA	NA	NA	NA
K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	Pathway module	Nucleotide and amino acid metabolism	Histidine metabolism	Histidine biosynthesis, PRPP => histidine
K02865	RP-L10Ae, RPL10A; large subunit ribosomal protein L10Ae	Structural complex	Genetic information processing	Ribosome	Ribosome, eukaryotes
K12821	PRPF40, PRP40; pre-mRNA-processing factor 40	NA	NA	NA	NA
K03232	EEF1B; elongation factor 1-beta	NA	NA	NA	NA
K00654	SPT; serine palmitoyltransferase [EC:2.3.1.50]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Ceramide biosynthesis
K00654	SPT; serine palmitoyltransferase [EC:2.3.1.50]	Pathway module	Carbohydrate and lipid metabolism	Lipid metabolism	Sphingosine biosynthesis
K13076	SLD; Delta8-fatty-acid desaturase [EC:1.14.19.4]	NA	NA	NA	NA
K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Glycolysis, core module involving three-carbon compounds
K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	Pathway module	Carbohydrate and lipid metabolism	Central carbohydrate metabolism	Gluconeogenesis, oxaloacetate => fructose-6P
K00335	nuoF; NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]	Structural complex	Energy metabolism	ATP synthesis	NADH:quinone oxidoreductase, prokaryotes
K03942	NDUFV1; NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:1.6.5.3 1.6.99.3]	Structural complex	Energy metabolism	ATP synthesis	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria
K19196	BRMS1; breast cancer metastasis-suppressor 1 and related proteins	NA	NA	NA	NA
K06082	FARP2, FRG; FERM, RhoGEF and pleckstrin domain protein 2	NA	NA	NA	NA
K16727	ARHGEF10; Rho guanine nucleotide exchange factor 10	NA	NA	NA	NA
K14455	GOT2; aspartate aminotransferase, mitochondrial [EC:2.6.1.1]	Pathway module	Energy metabolism	Carbon fixation	C4-dicarboxylic acid cycle, NAD - malic enzyme type
