Target	Target_2	Category	KO	GeneID	Full_GeneName	Phagotrophy_annotation	Notes	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K08569	CTSW	cathepsin W [EC:3.4.22.-]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K08568	CTSZ	cathepsin X [EC:3.4.18.1]	Cathepsin	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Chitinase	Chitinase	K00698	CHS1	chitin synthase 	Chitinase	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Chitinase	Chitinase	K01183	chitinase	chitinase 	Chitinase	Labarre et al. 2019; Flannagan et al. 2012	
Phagotrophy	Phagosome associated	Phagosome maturation	K07887	Rab-5A	Ras-related protein Rab-5A	Early phagosome	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K07888	Rab-5B	Ras-related protein Rab-5B	Early phagosome	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K07889	Rab-5C	Ras-related protein Rab-5C	Early phagosome	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K12478	early endosome antigen 1	early endosome antigen 1	Early phagosome	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K06503	transferrin receptor	transferrin receptor	Early phagosome	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K00914	phosphatidylinositol 3-kinase	phosphatidylinositol 3-kinase [EC:2.7.1.137]	Early phagosome	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K13813	syntaxin 12/13	syntaxin 12/13	Early phagosome	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K08057	calreticulin	calreticulin	Early phagosome	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K08054	calnexin	calnexin	Early phagosome	McKie-Krisberg et al. 2018	
Phagotrophy	Endocytosis	Endocytosis	K12492	ARFGAP1	ADP-ribosylation factor GTPase-activating protein 1		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K12562	AMPH	Amphiphysin		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K11824	AP2A	AP-2 complex subunit alpha		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K12489	ACAP	Arf-GAP with coiled-coil ANK repeat and PH domain-containing protein		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K18442	"ARFGEF, BIG"	Brefeldin A-inhibited guanine nucleotide-exchange protein		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K12194	"CHMP4, SNF7, VPS32"	Charged multivesicular body protein 4		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K12198	"CHMP5, VPS60"	Charged multivesicular body protein 5		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K04646	CLTC	Clathrin heavy chain		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K12483	EHD1	EH domain-containing protein 1		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K12471	EPN	Epsin		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K13649	FOLR	Folate receptor		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K18443	GBF1	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K03283	HSPA1_8	Heat shock 70kDa protein 1/8		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K12200	"PDCD6IP, ALIX, RIM20"	Programmed cell death 6-interacting protein		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K07889	RAB5C	Ras-related protein Rab-5C		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K07901	"RAB8A, MEL"	Ras-related protein Rab-8A		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K17917	SNX1_2	Sorting nexin-1/2		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K12486	SMAP 	Stromal membrane-associated protein ‚Äì		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K18464	"RTSC, SPG8"	WASH complex subunit strumpellin		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K00889	PIP5K	1-phosphatidylinositol-4-phosphate 5-kinase		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K21289	PIK3CG	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [EC:2.7.1.153]"		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K05692	actin beta/gamma 1	actin beta/gamma 1		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K13882	coronin-1A	coronin-1A		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K13505	vesicle-associated membrane protein 3	vesicle-associated membrane protein 3		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K01115	phospholipase D1/2	phospholipase D1/2		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K16860	phospholipase D3/4	phospholipase D3/4		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K23484	dynamin 2			McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K04393	Cdc42	cell division control protein 42		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Endocytosis	Endocytosis	K04392	RAC1	Ras-related C3 botulinum toxin substrate 1		McKie-Krisberg et al. 2018; Yutin et al. 2009	
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K00645	fabD	[acyl-carrier-protein] S-malonyltransferase 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K10251	"HSD17B12, KAR, IFA38"	17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K01716	fabA	3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K02372	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K00022	HADH	3-hydroxyacyl-CoA dehydrogenase 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K15397	KCS	3-ketoacyl-CoA synthase 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K00059	fabG	3-oxoacyl-[acyl-carrier protein] reductase 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K00647	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K09458	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K00648	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K07509	HADHB	acetyl-CoA acyltransferase 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K07508	ACAA2	acetyl-CoA acyltransferase 2 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K11262	ACACA	acetyl-CoA carboxylase / biotin carboxylase 1 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K02160	"accB, bccP"	acetyl-CoA carboxylase biotin carboxyl carrier protein			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K01962	accA	acetyl-CoA carboxylase carboxyl transferase subunit alpha 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K01963	accD	acetyl-CoA carboxylase carboxyl transferase subunit beta 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K01961	accC	"acetyl-CoA carboxylase, biotin carboxylase subunit "			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K11263	bccA	"acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein "			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K10247	ELOVL1	elongation of very long chain fatty acids protein 1 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K10205	ELOVL2	elongation of very long chain fatty acids protein 2 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K10249	ELOVL4	elongation of very long chain fatty acids protein 4 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K10244	ELOVL5	elongation of very long chain fatty acids protein 5 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K10203	ELOVL6	elongation of very long chain fatty acids protein 6 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K10250	ELOVL7	elongation of very long chain fatty acids protein 7 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K00209	"fabV, ter"	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K00208	fabI	enoyl-[acyl-carrier protein] reductase I 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K02371	fabK	enoyl-[acyl-carrier protein] reductase II 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K07511	ECHS1	enoyl-CoA hydratase 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K07515	HADHA	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K10246	ELO3	fatty acid elongase 3 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K00667	FAS2	"fatty acid synthase subunit alpha, fungi type "			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K00668	FAS1	"fatty acid synthase subunit beta, fungi type "			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K00665	FASN	"fatty acid synthase, animal type "			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K07512	"MECR, NRBF1"	mitochondrial trans-2-enoyl-CoA reductase 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K10703	"PHS1, PAS2"	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 			
Phagotrophy	Fatty acid biosynthesis	Fatty acid biosynthesis	K10258	"TER, TSC13, CER10"	very-long-chain enoyl-CoA reductase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00232	"ACOX1, ACOX3"	acyl-CoA oxidase [EC:1.3.3.6]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K06445	fadE	acyl-CoA dehydrogenase [EC:1.3.99.-]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00249	"ACADM, acd"	acyl-CoA dehydrogenase [EC:1.3.8.7]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00255	ACADL	long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K09479	ACADVL	very long chain acyl-CoA dehydrogenase [EC:1.3.8.9]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K01692	"paaF, echA"	enoyl-CoA hydratase [EC:4.2.1.17]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00022	HADH	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07516	fadN	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K10527	MFP2	enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07514	EHHADH	"enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]"			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K01825	fadB	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K01782	fadJ	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07515	HADHA	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00248	"ACADS, bcd"	butyryl-CoA dehydrogenase [EC:1.3.8.1]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00632	"fadA, fadI"	acetyl-CoA acyltransferase [EC:2.3.1.16]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07508	ACAA2	acetyl-CoA acyltransferase 2 [EC:2.3.1.16]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07509	HADHB	acetyl-CoA acyltransferase [EC:2.3.1.16]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07513	ACAA1	acetyl-CoA acyltransferase 1 [EC:2.3.1.16]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00626	atoB	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K01897	"ACSL, fadD"	long-chain acyl-CoA synthetase [EC:6.2.1.3]			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K05894	OPR	12-oxophytodienoic acid reductase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00022	HADH	3-hydroxyacyl-CoA dehydrogenase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07516	fadN	3-hydroxyacyl-CoA dehydrogenase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K01782	fadJ	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K01825	fadB	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00019	bdh	3-hydroxybutyrate dehydrogenase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K01574	adc	acetoacetate decarboxylase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00632	"fadA, fadI"	acetyl-CoA acyltransferase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07509	HADHB	acetyl-CoA acyltransferase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07513	ACAA1	acetyl-CoA acyltransferase 1 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07508	ACAA2	acetyl-CoA acyltransferase 2 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00626	atoB	acetyl-CoA C-acetyltransferase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00249	"ACADM, acd"	acyl-CoA dehydrogenase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K06445	fadE	acyl-CoA dehydrogenase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00232	"ACOX1, ACOX3"	acyl-CoA oxidase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K10525	AOC	allene oxide cyclase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K01692	"paaF, echA"	enoyl-CoA hydratase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07511	ECHS1	enoyl-CoA hydratase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07514	EHHADH	"enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase "			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K07515	HADHA	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K10527	MFP2	enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K01640	"HMGCL, hmgL"	hydroxymethylglutaryl-CoA lyase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K01641	HMG-CoA synthase	hydroxymethylglutaryl-CoA synthase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00454	LOX2S	lipoxygenase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K01897	"ACSL, fadD"	long-chain acyl-CoA synthetase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00255	ACADL	long-chain-acyl-CoA dehydrogenase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K15013	ACSBG	long-chain-fatty-acid--CoA ligase ACSBG 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K09479	ACADVL	very long chain acyl-CoA dehydrogenase 			
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K05939	aas	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]	added to FA breakdown; KEGG pathway map		
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K20495	CYP704B1	long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	added to FA breakdown; KEGG pathway map		
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K15401	CYP86A1	fatty acid omega-hydroxylase [EC:1.14.-.-]	added to FA breakdown; KEGG pathway map		
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K00252	"GCDH, gcdH"	glutaryl-CoA dehydrogenase	added to FA breakdown; KEGG pathway map		
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K08765	CPT1A	"carnitine O-palmitoyltransferase 1, liver isoform [EC:2.3.1.21]"	added to FA breakdown; KEGG pathway map		
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K08766	CPT2	carnitine O-palmitoyltransferase 2 [EC:2.3.1.21]	added to FA breakdown; KEGG pathway map		
Phagotrophy	Fatty acid breakdown	Fatty acid breakdown	K19524	CPT1C	"carnitine O-palmitoyltransferase 1, brain isoform [EC:2.3.1.21]"	added to FA breakdown; KEGG pathway map		
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01288	KEX1	carboxypeptidase D 	Lysosome associated		
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01285	PRCP	lysosomal Pro-X carboxypeptidase 	Lysosome associated		
Phagotrophy	Lysosome associated	Lysosome binding and processing	K06002	PGA	pepsin A 	Lysosome associated	Rubin et al. 2019	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K09646	SCPEP1	serine carboxypeptidase 1 	Lysosome associated		
Phagotrophy	Lysosome associated	Lysosome binding and processing	K16296	SCPL-I	serine carboxypeptidase-like clade I 	Lysosome associated		
Phagotrophy	Lysosome associated	Lysosome binding and processing	K16297	SCPL-II	serine carboxypeptidase-like clade II 	Lysosome associated		
Phagotrophy	Lysosome associated	Lysosome binding and processing	K16298	SCPL-IV	serine carboxypeptidase-like clade IV 	Lysosome associated		
Phagotrophy	Lysosome associated	Lysosome binding and processing	K12391	AP1G1	AP-1 complex subunit gamma-1	Lysosome transport	Mckie-Krisberg et al. 2018	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K12396	AP3D1	AP-3 complex subunit delta-1	Lysosome transport	Mckie-Krisberg et al. 2018	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K12400	AP4E1	AP-4 complex subunit epsilon-1	Lysosome transport	Mckie-Krisberg et al. 2018	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K05656	ABCB9 TAPL	ATP-binding cassette subfamily B (MDR/TAP) member 9 	Lysosome transport	Mckie-Krisberg et al. 2018	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K04646	CLTC	Clathrin heavy chain	Lysosome transport	Mckie-Krisberg et al. 2018	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K01074	PPT	Palmitoyl-protein thioesterase	Lysosome transport	Mckie-Krisberg et al. 2018	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K02155	ATPeV0C ATP6L	V-type H+-transporting ATPase 16kDa proteolipid subunit 	Lysosome transport	Mckie-Krisberg et al. 2018	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K03661	ATPeV0B ATP6F	V-type H+-transporting ATPase 21kDa proteolipid subunit 	Lysosome transport	Mckie-Krisberg et al. 2018	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K02154	ATPeV0A ATP6N	V-type H+-transporting ATPase subunit a 	Lysosome transport	Mckie-Krisberg et al. 2018	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K02146	ATPeV0D ATP6D	V-type H+-transporting ATPase subunit d	Lysosome transport	Mckie-Krisberg et al. 2018	
Phagotrophy	Lysosome associated	Lysosome binding and processing	K02144	ATPeV1H	V-type H+-transporting ATPase subunit H	Lysosome transport	Mckie-Krisberg et al. 2018	
Phagotrophy	Motility and prey recognition	Motility and prey recognition	K06560	"mannose receptor, C type"			Flannagan et al. 2012	
Phagotrophy	Motility and prey recognition	Motility and prey recognition	K06256	CD44			Flannagan et al. 2012	
Phagotrophy	Motility and prey recognition	Motility and prey recognition	K06259	CD36 antigen			Flannagan et al. 2012	
Phagotrophy	Motility and prey recognition	Motility and prey recognition	K00914	"PIK3C3, VPS34"	phosphatidylinositol 3-kinase [EC:2.7.1.137]		Flannagan et al. 2012; Niedergang and Grinstein 2018	
Phagotrophy	Motility and prey recognition	Motility and prey recognition	K01114	phospholipase C			Flannagan et al. 2012	
Phagotrophy	Motility and prey recognition	Motility and prey recognition	K05700	vinculin 			Flannagan et al. 2012	
Phagotrophy	Phagosome associated	Phagosome maturation	K12182	hepatocyte growth factor-regulated tyrosine kinase substrate	hepatocyte growth factor-regulated tyrosine kinase substrate	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K07897	Ras-related protein Rab-7A	Ras-related protein Rab-7A	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K07898	Ras-related protein Rab-7B	Ras-related protein Rab-7B	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K13883	Rab-interacting lysosomal protein	Rab-interacting lysosomal protein	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K10413	"dynein heavy chain 1, cytosolic"	"dynein heavy chain 1, cytosolic"	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K10414	"dynein heavy chain 2, cytosolic"	"dynein heavy chain 2, cytosolic"	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K10415	"dynein intermediate chain, cytosolic"	"dynein intermediate chain, cytosolic"	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K10416	"dynein light intermediate chain 1, cytosolic"	"dynein light intermediate chain 1, cytosolic"	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K07374	tubulin alpha	tubulin alpha	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K07375	tubulin beta	tubulin beta	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K08488	syntaxin 7	syntaxin 7	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K07198	"PRKAA, AMPK"	AMP-activated protein kinase catalytic alpha subunit	Phagosome acidification	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K08339	ATG5	Autophagy-related protein 5	Phagosome acidification	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K08334	"BECN1, VPS30, ATG6"	Beclin 1	Phagosome acidification	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K08342	ATG	Cysteine protease ATG4	Phagosome acidification	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K00914	"PIK3C3, VPS34"	Phosphatidylinositol 3-kinase	Phagosome acidification	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K08333	"PIK3R4, VPS15"	phosphoinositide-3-kinase regulatory subunit 4	Phagosome acidification	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K08269	"ULK1_2_3, ATG1"	serine/threonine-protein kinase ULK/ATG1 	Phagosome acidification	McKie-Krisberg et al. 2018	
Phagotrophy	Phagosome associated	Phagosome maturation	K06528	lysosomal-associated membrane protein 1/2	lysosomal-associated membrane protein 1/2	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K00921	1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]	1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K10089	cation-dependent mannose-6-phosphate receptor	cation-dependent mannose-6-phosphate receptor	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K13240	"nitric-oxide synthase, brain [EC:1.14.13.39]"	"nitric-oxide synthase, brain [EC:1.14.13.39]"	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K10789	myeloperoxidase [EC:1.11.2.2]	myeloperoxidase [EC:1.11.2.2]	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K10956	protein transport protein SEC61 subunit alpha	protein transport protein SEC61 subunit alpha	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K09481	protein transport protein SEC61 subunit beta	protein transport protein SEC61 subunit beta	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K07342	protein transport protein SEC61 subunit gamma and related proteins	protein transport protein SEC61 subunit gamma and related proteins	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K05653	"ATP-binding cassette, subfamily B (MDR/TAP), member 2"	"ATP-binding cassette, subfamily B (MDR/TAP), member 2"	Phagosome acidification		
Phagotrophy	Phagosome associated	Phagosome maturation	K05654	"ATP-binding cassette, subfamily B (MDR/TAP), member 3"	"ATP-binding cassette, subfamily B (MDR/TAP), member 3"	Phagosome acidification		
